Disposition,Orbital Period,Transit Epoch,Impact Parameter,Transit Duration,Transit Depth,Planetary Radius,Equilibrium Temperature,Transit Signal-to-Noise,Stellar Effective Temperature,Stellar Surface Gravity,Stellar Radius,Right Ascension,Declination,Kepler-band
CONFIRMED,6.48,137.58,0.49,2.7,531,1.92,793,28.1,4954,4.5,0.83,291.24,44.01,15.57
CONFIRMED,16.86,142.34,0.76,2.07,760,2.51,576,21.8,4954,4.5,0.83,291.24,44.01,15.57
FALSE POSITIVE,3.13,136.01,1.25,3.63,9970,48.73,1444,222.3,6248,4.33,1.18,289.26,47.82,13.5
CONFIRMED,2.95,133.14,0.04,2.03,358,1.48,1027,29.3,4983,4.51,0.81,290.91,42.29,15.33
CONFIRMED,37.87,134.36,0.18,4.78,395,2.01,543,25.9,5757,4.43,1.02,291.77,47.53,14.5
CONFIRMED,8.31,138.11,0.33,3.27,836,2.42,747,74.3,5022,4.49,0.85,291.64,41.24,14.82
CONFIRMED,11.93,142.11,0.12,6.21,179,1.83,905,32.3,5711,4.22,1.39,283.19,41.31,13.35
CONFIRMED,7.54,132.96,0.32,4.73,133,1.59,1054,25.8,5711,4.22,1.39,283.19,41.31,13.35
CONFIRMED,5.03,134.11,0.3,3.53,181,2.03,1272,26.1,5640,4.09,1.52,294.14,42.37,14.69
CONFIRMED,1.9,132.68,0.23,2.71,132,1.73,1761,27.2,5640,4.09,1.52,294.14,42.37,14.69
CONFIRMED,10.63,137.82,0.47,4.58,327,1.87,872,22.6,6082,4.45,1.01,292.55,41.64,15.4
CONFIRMED,1.1,132.32,0.15,1.05,469,1.6,1397,35.3,5002,4.54,0.75,290.95,45.72,15.28
CONFIRMED,4.89,133.64,0.22,3.49,138,1.6,1374,15.9,6688,4.3,1.35,289.75,39.52,13.83
CONFIRMED,11.17,134.71,0.03,3.31,325,1.64,796,21.4,5911,4.52,0.91,296.31,43.82,15.36
FALSE POSITIVE,0.51,132.24,0.3,1.06,329,1.03,1255,46.1,3862,4.69,0.56,282.28,42.15,14.78
CONFIRMED,33.42,155.59,0.91,4.65,1170,3.13,448,28.4,5136,4.61,0.74,283.16,45.2,15.82
CONFIRMED,2.05,134.52,0.97,2.6,65.5,1.44,1737,23.2,6084,4.2,1.36,290.1,48.25,12.22
CONFIRMED,18.78,137.88,0.66,3.11,1010,2.14,433,23.8,4243,4.64,0.64,295.25,45.84,15.56
CONFIRMED,3.61,134.7,0.52,3.23,64.8,1.14,1347,14.9,5711,4.22,1.39,283.19,41.31,13.35
CONFIRMED,13.15,144.16,0.87,5.44,97.8,1.87,1008,25.5,6154,4.12,1.64,297.79,47.89,12.07
FALSE POSITIVE,7.48,133.41,0.01,2.57,110,2.05,1346,26.2,5957,3.85,1.95,300.23,43.76,11.54
CONFIRMED,42.19,155.31,0.07,7.08,489,2.35,526,25.7,5520,4.34,1.08,288.28,46.34,15.06
CONFIRMED,3.73,132.89,0.82,2.91,191,1.48,1128,24,5709,4.49,0.95,294.19,45.15,14.97
CONFIRMED,2.79,133.9,0.15,2.03,197,2.33,1432,22.2,4827,3.94,1.73,296.72,49.53,14.44
CONFIRMED,38,162.98,0.02,6.78,404,2.39,618,37.8,6038,4.28,1.19,291.11,39.95,14.25
CONFIRMED,17.23,135.09,0.4,4.56,510,2.79,817,64.1,6086,4.27,1.22,297,42.78,14.06
CONFIRMED,28.51,132.92,0.7,6.32,756,2.55,555,20.8,5712,4.53,0.87,292.23,38.89,15.78
CONFIRMED,53.6,147.43,0.66,6.81,523,2.49,529,23.1,6319,4.45,1.03,291.28,46.97,14.95
CONFIRMED,0.69,132.18,0.2,1.62,49.3,0.83,2161,28.9,5457,4.24,1.2,294.98,46.01,12.95
CONFIRMED,83.49,188.54,0.42,6.21,955,2.95,411,24.7,5910,4.51,0.94,293.23,48.28,15.38
CONFIRMED,34.06,141.36,0.79,2.47,819,2.96,554,20.5,5910,4.51,0.94,293.23,48.28,15.38
CONFIRMED,59.98,176.15,0.92,7.59,282,2.81,568,25.2,6103,4.2,1.38,281.57,47.4,13.66
CONFIRMED,25.75,135.95,0.66,7.07,140,1.73,753,19.3,6103,4.2,1.38,281.57,47.4,13.66
CONFIRMED,4.34,132.8,0.82,2.37,337,2.11,1061,31.6,5330,4.37,1.01,294.52,50.67,14.82
CONFIRMED,2.85,132.04,0.3,0.71,1400,1.66,621,33.3,3731,4.83,0.43,286.59,37.89,15.96
CONFIRMED,65.65,173.3,0.95,5.75,589,3.93,485,22,5565,4.25,1.25,292.25,47.88,14.87
FALSE POSITIVE,102.65,222.99,1.18,53.59,687,39.16,562,82.1,6711,4.1,1.7,293.42,48.2,12.68
FALSE POSITIVE,0.99,131.88,0,2.59,26.5,0.98,2669,25,6258,3.94,1.9,300.78,45.11,11.51
FALSE POSITIVE,1.81,132.93,0.97,5.07,429,2.83,1508,83.9,5700,4.38,1.01,295.48,45.24,14.67
CONFIRMED,16.08,143.39,0.11,2.21,488,2.14,724,19.3,5957,4.5,0.97,288.48,47.1,15.31
CONFIRMED,18.87,143.96,0.88,3.47,588,2.67,701,28.5,6103,4.5,0.95,286.89,38.32,14.56
CONFIRMED,17.14,141.01,0.03,6.42,362,2.05,775,25.4,6218,4.42,1.08,283.1,43.15,15
CONFIRMED,26.7,144,0.14,4.58,133,1.4,706,13.4,6086,4.27,1.22,297,42.78,14.06
CONFIRMED,6.31,132.65,0.03,2.75,1290,2,575,112.5,4090,4.7,0.57,287.89,39.34,14.74
CONFIRMED,7.13,135.99,0.61,4.37,145,1.64,1102,27.2,5862,4.19,1.31,288.96,42.27,13.96
CONFIRMED,8.92,140.08,0.62,4.14,181,1.84,1023,29.6,5862,4.19,1.31,288.96,42.27,13.96
FALSE POSITIVE,2.39,133.79,0.91,1.37,102,1.33,1418,20.5,5716,4.34,1.09,285.14,45,13.48
CONFIRMED,17.67,131.6,0.93,6.69,348,2.89,778,25,5795,4.27,1.25,295.48,40.73,14.87
CONFIRMED,108.59,173.75,0.01,7.99,338,1.68,374,24.3,5678,4.41,0.92,285.69,45.69,14.03
CONFIRMED,19.99,135.52,0.96,4.39,648,4.22,720,21.8,5500,4.22,1.24,288.62,48.1,15.7
CONFIRMED,12.13,142.11,0.81,3.29,328,2.5,851,14,5500,4.22,1.24,288.62,48.1,15.7
CONFIRMED,56.26,164.22,0.03,8.11,349,2.22,543,29.7,6038,4.28,1.19,291.11,39.95,14.25
CONFIRMED,1.65,132.06,0.13,1.2,284,0.86,806,25.2,3810,4.75,0.51,290.43,44.11,14.63
CONFIRMED,3.79,134.61,0.18,2.81,143,1.23,1158,18.2,5560,4.38,1.04,298.43,47.95,14.29
CONFIRMED,10.46,137.65,0.01,3.15,307,1.25,609,18.6,4641,4.56,0.75,285,49.48,14.47
CONFIRMED,11.9,133.35,0.84,3.02,131,1.69,929,15.9,5862,4.19,1.31,288.96,42.27,13.96
CONFIRMED,23.13,145.66,0.74,4.9,157,1.44,667,20.9,5865,4.39,1.07,281.56,42.45,11.86
CONFIRMED,5.13,132.16,0.22,1.46,908,1.69,584,35.4,3879,4.71,0.58,291.09,49.19,15.54
CONFIRMED,10.66,132.01,0.31,3.16,293,1.76,865,25.3,6014,4.44,1.02,295.63,49.13,14.65
CONFIRMED,5.12,132.08,0.31,2.75,286,1.65,994,25.1,5364,4.39,0.98,293.22,42.72,15.16
CONFIRMED,3.57,134.93,0.05,2.88,2980,5.81,1210,362.1,5646,4.37,1.08,290.77,38.93,14.72
CONFIRMED,61.62,179.08,0.09,3.82,1350,3.36,424,19.5,5480,4.49,0.93,293.06,39.4,15.72
CONFIRMED,24.34,136.06,0.93,3.89,777,5.09,737,27.8,5596,4.11,1.47,291.6,41.31,15.28
CONFIRMED,1.76,133.16,0.89,1.94,386,1.94,1343,25.1,5569,4.57,0.83,289.15,45.87,15.76
CONFIRMED,5.19,132.32,0.01,4.05,253,2.34,1314,27.6,6172,4.2,1.47,297.48,39.88,14.81
CONFIRMED,33.47,140.15,0.88,4.75,371,2.45,609,23.2,5912,4.34,1.09,288.82,39.52,14.74
CONFIRMED,11.9,132.89,0.07,3.43,184,1.33,787,22.3,5649,4.41,0.99,288.92,46.06,14.15
CONFIRMED,5.6,135.96,0.05,2.65,329,1.73,952,22.8,5288,4.39,0.98,291.66,48.01,15.38
CONFIRMED,25.2,137.56,0.17,4.52,697,2.42,600,22.3,5831,4.52,0.92,282.14,43.9,15.68
CONFIRMED,5.64,138.56,0.03,2.84,1450,4.59,1125,145.9,5794,4.28,1.22,297.2,41.73,14.76
CONFIRMED,25.56,375.28,0.85,4.69,1120,4,671,31.6,6228,4.44,1.05,293.29,42.2,15.89
CONFIRMED,12.79,130.77,0.18,3.42,817,1.6,455,54.1,4090,4.7,0.57,287.89,39.34,14.74
CONFIRMED,1.43,132.63,0.11,1.86,201,1.5,1664,28.4,5806,4.4,1.06,299.79,43.67,14.69
CONFIRMED,3.28,132.42,0.22,2.92,191,1.6,1326,24.5,5859,4.34,1.16,296.85,49.08,14.84
CONFIRMED,12.52,135.03,0.02,4.85,263,1.87,848,22.6,5859,4.34,1.16,296.85,49.08,14.84
CONFIRMED,5.45,134.15,0.88,2.13,86,0.92,904,21,5450,4.56,0.84,285.21,45.38,12.4
CONFIRMED,4.46,132.16,0.18,2.32,176,0.79,732,20.8,4487,4.64,0.61,283.12,43.53,14.37
FALSE POSITIVE,1.82,147.48,0.9,4.23,3220,5.31,1508,184.3,6190,4.49,0.79,295.24,40.16,14.61
CONFIRMED,2.83,131.83,0.37,2.31,115,1.37,1453,27.5,5865,4.27,1.27,288.14,51.28,13.47
CONFIRMED,3.93,135.19,0.22,2.93,101,1.2,1317,22,6038,4.28,1.19,282.39,48.76,13.65
CONFIRMED,7.63,137.08,0.63,2.78,124,1.39,1056,18.6,6038,4.28,1.19,282.39,48.76,13.65
CONFIRMED,16.22,136.02,0.41,2.55,262,1.51,676,20.6,5547,4.46,0.93,291.7,38.15,14.13
CONFIRMED,58.6,137.67,0.39,5.52,396,2.06,508,19.1,6250,4.44,1.02,297.72,47.11,14.65
CONFIRMED,25.08,134.14,0.87,6.42,245,2.26,776,30.5,6429,4.24,1.26,284.98,41.42,13.84
CONFIRMED,78.1,139.5,0.53,8.42,657,3.37,480,23.8,5779,4.24,1.28,292.3,38.27,15
CONFIRMED,4.27,133.14,0.02,2.28,180,1.22,1108,24.6,5984,4.52,0.91,293.26,41.37,14.55
CONFIRMED,3.53,134.75,0.3,2.77,224,1.43,1159,12.8,5761,4.49,0.96,295.65,49.26,14.97
FALSE POSITIVE,15.04,144.14,0.9,5.1,5240,12.36,962,181.6,6501,4.21,1.44,294.73,40.15,12
CONFIRMED,12.57,143.07,0.25,4.77,86.5,1.09,886,12.4,6084,4.32,1.17,287.86,40.55,12.89
CONFIRMED,40.84,152.87,0.36,4.96,265,1.5,496,18.7,5529,4.46,0.93,295.1,40.57,14.05
FALSE POSITIVE,11.78,142.71,0.83,2.83,281,1.31,619,15.1,5096,4.62,0.69,294.12,48.35,15.01
FALSE POSITIVE,29.71,151.56,1.2,70.37,385,46.43,870,130,6440,3.98,1.92,295.14,49.99,11.55
CONFIRMED,19.94,142.35,0.86,4.28,759,2.42,588,18,5623,4.6,0.76,286.15,37.41,15.92
CONFIRMED,22.24,144.72,0.9,7.53,63.5,2.04,954,16.2,5979,3.85,2.16,289.03,40.09,12.82
CONFIRMED,0.58,132.43,0.03,1.09,400,1.42,1757,68.3,5255,4.62,0.72,296.55,46.97,14.86
CONFIRMED,12.72,178.53,0.79,2.73,1180,4.75,934,485.5,6267,4.28,1.26,286.64,39.49,10.73
FALSE POSITIVE,2.49,132.64,0.98,2.64,259,9.48,2241,20.7,5002,3.34,4.13,297.11,47.53,13.96
CONFIRMED,68.89,160.3,0.24,5.93,144,1.47,501,19.5,5753,4.2,1.22,283.89,47.64,12.46
CONFIRMED,9.99,134.39,0.69,2.66,392,1.68,660,16.7,4838,4.52,0.8,285.17,48.77,15.31
CONFIRMED,36.29,132.18,0,8.2,375,3.1,694,21.4,5843,4.07,1.62,295.24,42.73,15.25
FALSE POSITIVE,0.93,169.69,0.62,1.97,401,50.6,6637,20.6,4094,1.63,24.49,294.03,42.47,10.8
CONFIRMED,17.25,149.89,0.75,2.04,2050,2.64,385,68.6,3879,4.71,0.54,284.94,46.57,15.47
FALSE POSITIVE,1.87,132.08,1.25,7.5,701,31.18,1561,58.5,6117,4.46,1.03,299.41,40.43,15.6
CONFIRMED,3.24,133.98,0.39,2.57,77.4,0.77,1213,17.2,6075,4.54,0.86,282.96,42.83,13.66
CONFIRMED,31.2,140.07,0.71,4.08,360,1.47,406,13.7,4513,4.57,0.72,291.34,38.36,15.07
CONFIRMED,22.6,140.43,0.06,6.18,143,1.3,670,22.2,5610,4.3,1.1,286.03,44.78,13.58
CONFIRMED,45.35,142.25,0.85,4.86,163,1.61,531,15.9,5610,4.3,1.1,286.03,44.78,13.58
CONFIRMED,12.41,140.36,0.71,4.3,108,1.5,933,19.4,5945,4.2,1.35,291.47,44.68,13.54
CONFIRMED,2.67,131.69,0.33,2.41,266,1.48,1252,23.3,5806,4.53,0.9,296.08,45.63,15.55
CONFIRMED,23.48,145.36,0.01,6.74,141,1.34,738,17.6,6384,4.36,1.12,288.1,40.37,13.97
CONFIRMED,66.56,181.32,0.25,10.53,214,4.96,757,21.3,5734,3.59,3.41,293.57,45.38,14.07
FALSE POSITIVE,2.02,132.92,0.98,5.25,275,2.15,1430,27.9,5884,4.48,0.94,295.56,50.83,15.42
FALSE POSITIVE,3.04,132.46,0.62,5.95,71.4,0.86,1244,22.2,5575,4.36,0.98,293.67,45.52,14.03
FALSE POSITIVE,15.05,141.54,0.31,1.85,615,2.46,735,13.4,5887,4.49,0.99,291.14,50.58,15.61
CONFIRMED,2.46,170.82,0.14,1.73,36900,10.6,730,1341.6,3793,4.7,0.57,292.87,41.06,15.98
CONFIRMED,9.08,139.65,0.26,2.01,297,1.35,734,15.8,5354,4.59,0.79,286.6,42.44,15.4
FALSE POSITIVE,0.79,131.88,0.01,1.06,277,1.24,1502,31.5,4791,4.54,0.77,282.41,46.9,14.86
FALSE POSITIVE,0.53,131.91,1.2,4.02,496,16.99,1790,85.2,5271,4.64,0.7,292.49,41.31,15.4
CONFIRMED,6.24,171.71,0.01,3.53,402,2.53,1185,274.5,6267,4.28,1.26,286.64,39.49,10.73
CONFIRMED,86.83,189.26,0.95,7.46,751,1.68,196,15.1,3576,4.79,0.46,297.49,47,15.47
CONFIRMED,9.96,136.58,0.95,3.53,587,3.41,946,16.8,6165,4.37,1.12,283.26,41.71,15.31
CONFIRMED,10.42,137.46,0.12,4.13,210,1.64,870,20.3,5557,4.29,1.15,288.59,42.61,14.75
CONFIRMED,0.66,131.98,0.84,1.15,323,1.6,1681,35.3,5172,4.6,0.77,297.84,46.97,15.3
CONFIRMED,19.12,138.43,0.74,6.81,218,2.33,823,20.5,5862,4.15,1.46,295.59,42.56,14.84
FALSE POSITIVE,1.09,131.77,0.98,1.62,126,4.91,3081,33.5,5988,3.59,3.2,297.86,40.33,13.21
FALSE POSITIVE,1.18,131.88,0.17,1.39,84.3,0.91,1775,12.7,6014,4.46,0.99,297.05,46.87,14.68
CONFIRMED,3.54,136.26,0.02,1.87,507,1.21,652,38.2,3879,4.71,0.54,284.94,46.57,15.47
CONFIRMED,8.84,135.54,0.92,1.72,316,1.94,778,14.8,5330,4.49,0.87,290.99,50.31,15.1
FALSE POSITIVE,0.63,132.54,0.43,1.07,145,1.88,2797,24.7,6414,4.17,1.52,290.85,37.86,14.68
CONFIRMED,7.56,135.64,0.25,2.85,181,1.2,891,15.7,5853,4.53,0.9,284.29,42.36,14.64
CONFIRMED,34.99,144.21,0.03,4.21,499,1.14,292,11.5,3765,4.73,0.52,293.51,45.14,15.99
CONFIRMED,7.05,136.19,0.48,1.72,359,1,497,11.2,3765,4.73,0.52,293.51,45.14,15.99
CONFIRMED,26.78,140.75,0.04,4.58,365,1.59,523,20.9,5242,4.51,0.86,296.55,49.1,14.8
CONFIRMED,45.13,165.42,0.49,6.66,373,2.32,604,17.1,6499,4.38,1.17,297.38,46.66,14.69
CONFIRMED,11.94,136.56,0.35,2.87,632,1.86,625,15.6,5073,4.61,0.75,287.52,51.38,15.91
FALSE POSITIVE,3.51,133.78,0.5,3.06,83.1,1.1,1434,22.5,6453,4.33,1.17,295.96,50.24,13.51
CONFIRMED,6.74,133.33,0.15,2.59,92.9,0.73,786,14.4,5168,4.57,0.77,291.63,41.21,13.94
FALSE POSITIVE,7.58,138.22,0.41,2.36,419,2.45,1075,12.8,6418,4.4,1.17,295.02,40.73,15.61
FALSE POSITIVE,4.77,132.1,0.65,1.67,116,2.11,1532,20,6063,3.93,1.86,294.51,40.73,13.39
FALSE POSITIVE,0.51,132.81,0.28,1.58,259,1.32,2009,45.2,5547,4.57,0.82,295.47,46.01,15.34
FALSE POSITIVE,12.08,140.46,0.26,2.23,151,1.03,708,14,5370,4.47,0.85,288.77,39.67,14.17
FALSE POSITIVE,6.38,132.31,0.03,1.71,1110,2.35,787,23.8,5262,4.62,0.71,285.57,49.96,15.55
CONFIRMED,27.52,189.82,0.35,4.05,2310,2.47,314,106.5,3780,4.75,0.51,287.86,42.54,15.11
CONFIRMED,16.13,143.76,0.97,6.27,389,2.94,715,21.3,5392,4.31,1.09,285.28,39.45,15.02
CONFIRMED,13.56,140.65,0.7,5.44,336,1.75,733,15.4,5853,4.53,0.9,297.34,46.35,15.79
CONFIRMED,16.3,133.91,0.21,2.12,370,1.83,678,15.7,5495,4.44,0.96,294.48,46.95,15.24
CONFIRMED,4.16,132.27,0.07,2.61,75.8,0.7,985,16.3,5481,4.57,0.82,284.9,43.95,13.89
FALSE POSITIVE,2.93,131.93,0.52,2.23,199,1.15,1134,15,5485,4.5,0.79,283.03,47.25,15.48
CONFIRMED,39.79,175.25,0.02,4.47,610,1.9,458,179.5,5437,4.57,0.78,284.06,44.52,9.71
FALSE POSITIVE,16.23,136.63,0.63,3.7,526,2.11,648,20.5,5328,4.45,0.88,297.19,46.83,15.39
FALSE POSITIVE,1.6,136.14,1.21,1.79,260,17.94,1346,18.3,5632,4.62,0.73,299.08,46.79,15.11
FALSE POSITIVE,0.96,132.21,1.08,4.48,86.3,29.27,3399,28.7,6534,3.65,3.03,297.69,40.64,13.4
CONFIRMED,8.68,140.9,0.22,2.86,302,1.79,949,19.9,6117,4.42,1.03,288.77,42.21,15.18
CONFIRMED,3.12,133.85,0.2,1.78,345,1.59,1123,18.8,5591,4.56,0.86,295.35,48.52,15.79
CONFIRMED,0.68,132.86,0.21,1.22,241,1.4,1883,36.7,5440,4.49,0.91,283.92,40.74,14.16
FALSE POSITIVE,213.61,141.66,0.98,10.76,111000,46.07,291,534.5,5931,4.55,0.85,290.75,49.97,15.62
FALSE POSITIVE,170.87,299.66,0.68,16.99,29800,24.4,387,897,5989,4.22,1.32,281.06,43.92,14.41
FALSE POSITIVE,21.48,149.26,0.01,5.55,348000,59.5,655,124.8,5780,4.44,1,290.23,37.78,17.29
FALSE POSITIVE,17.55,133.95,0.2,4.06,3860,5.97,700,9.7,5780,4.44,1,290.23,37.78,17.29
CONFIRMED,88.51,182.67,0.24,6.82,2520,4.7,390,63.1,5593,4.45,0.95,296.13,48.98,11.92
FALSE POSITIVE,10.22,133.65,0.1,3.4,259,1.5,780,17.4,5406,4.43,0.95,288.11,38.66,14.34
FALSE POSITIVE,8.38,134.73,0.53,3.03,651,1.91,701,4.6,5062,4.6,0.74,293.24,45.3,15.97
CONFIRMED,31.06,147.56,0.34,3.4,637,1.85,480,15.8,5395,4.62,0.73,295.62,42.55,15.96
CONFIRMED,15.16,144.47,0.96,7.33,480,3.12,829,28.5,6325,4.41,1.11,294.34,50.34,15.21
CONFIRMED,10.04,353.62,0.95,5.55,438,2.94,951,28.8,6325,4.41,1.11,294.34,50.34,15.21
FALSE POSITIVE,7.1,136.33,0.19,1.54,371,1.51,818,16.8,5488,4.58,0.79,297.91,45.03,15.16
CONFIRMED,4.55,133.06,0.25,2.46,189,1.13,907,19.4,5009,4.49,0.84,286.48,46.75,15.04
CONFIRMED,10.91,169.85,0.69,2.18,1390,2.13,443,57.4,3834,4.71,0.54,292.29,40.59,15.26
FALSE POSITIVE,12.21,141.37,1.18,10.26,536,18.13,683,24.7,5435,4.58,0.82,299.04,40.58,15.35
FALSE POSITIVE,3.73,131.94,0.4,2.05,154,1.09,1119,15.7,5762,4.5,0.87,291.36,44.42,14.83
CONFIRMED,5.34,136.32,0.07,3.58,70.5,0.95,1125,19.2,5767,4.29,1.14,288.66,43.37,13.46
CONFIRMED,2.13,133.66,0.21,1.81,269,1.66,1418,22.9,5845,4.47,1.01,290.18,46.7,15.55
CONFIRMED,12.95,139.42,0.11,9.57,169,1.13,764,15.7,6058,4.54,0.87,295.46,40.78,15.08
FALSE POSITIVE,89.47,170.84,0.93,9.88,67.9,2.57,549,5.7,5192,3.77,2.46,284.8,45.1,13
CONFIRMED,18.02,145.24,0.02,4.02,500,2.39,768,16.7,6245,4.41,1.07,292.87,46.74,15.39
FALSE POSITIVE,40.88,163.43,1.26,9.75,719,29.55,526,23.6,5930,4.49,0.94,292.36,42.39,15.59
CONFIRMED,84.57,150.15,0.02,5.76,892,2.59,366,20.4,5418,4.54,0.89,295.63,44.69,15.76
CONFIRMED,21.3,191.84,0.09,3.88,87.3,0.72,564,32.4,5437,4.57,0.78,284.06,44.52,9.71
CONFIRMED,4.15,135.53,0.88,3.83,138,1.93,1389,16.4,6150,4.22,1.42,297.91,40.16,14.73
FALSE POSITIVE,1.96,131.65,0.16,2.38,139,1.33,1638,14.2,6306,4.41,1.12,297.41,39.49,15.08
CONFIRMED,0.97,131.51,0.94,1.37,115,1.21,1677,16.9,5580,4.54,0.89,289.88,45.21,14.51
FALSE POSITIVE,11.75,135.68,0.12,4.04,36.7,1.01,1114,12.5,6440,4.08,1.66,293.51,50.45,11.64
FALSE POSITIVE,0.37,133.56,0.32,1.23,275,51.34,9983,16.7,4448,1.69,31.5,296.97,40.93,11.06
CONFIRMED,4.16,171.09,0.59,1.85,2340,2.54,590,132.1,3808,4.75,0.51,298.26,47.6,14.75
CONFIRMED,2.1,133.32,0.87,1.12,242,0.79,662,20.7,3605,4.84,0.43,285.93,38.52,14.49
CONFIRMED,28.84,143.82,0.91,3.17,757,2.66,491,15,5151,4.53,0.79,298.74,40.76,15.65
FALSE POSITIVE,1.38,169.78,0.1,1.22,22500,6.51,734,172.2,3440,4.82,0.44,285.19,49.57,15.37
FALSE POSITIVE,1.11,131.85,0.4,1.35,54.7,0.73,1797,13,6046,4.49,0.97,291.53,50.68,13.82
FALSE POSITIVE,1.3,133.08,0.08,1.02,246,1.51,1694,22.1,6045,4.49,0.96,293.62,38.73,14.83
FALSE POSITIVE,1.96,132.26,0.59,2.39,453,1.8,1252,24.5,5402,4.57,0.82,284.15,40.27,15.9
CONFIRMED,5.19,135.22,0.12,4.22,290,1.92,1183,25.2,6321,4.42,1.13,293.13,42.32,15.44
CONFIRMED,4.87,134.02,0.18,2.3,144,1.32,1121,17.1,5688,4.33,1.11,283,40.56,13.99
FALSE POSITIVE,4.79,134.04,0.37,4.52,117,0.81,883,23,5138,4.54,0.76,290.24,39.56,14.29
CONFIRMED,25.19,146.43,0.68,4.62,481,1.95,513,18,5009,4.49,0.84,289.86,48.69,15.63
FALSE POSITIVE,0.76,131.8,1.18,4.91,227,24.2,2280,65.3,6386,4.4,1.12,290.54,40.71,14.87
CONFIRMED,6.49,132.25,0.91,2.34,357,1.75,732,17.7,4769,4.56,0.74,284.59,47.08,15.6
CONFIRMED,2.58,172.13,0.19,1.6,853,1.57,717,63.6,3834,4.71,0.54,292.29,40.59,15.26
CONFIRMED,28.48,154.57,0.84,4.72,764,2.64,489,21.4,4996,4.5,0.83,285.87,42.73,15.86
CONFIRMED,14.8,142.74,0.18,5.61,56.1,0.98,874,22.4,6175,4.3,1.31,281.84,44.16,11.71
CONFIRMED,11.25,136.89,0.6,4.76,433,2.42,888,17,5995,4.35,1.12,280.26,43.84,15.17
CONFIRMED,9.18,134.05,0.26,4.32,87.6,1.24,1052,20.3,6194,4.24,1.31,291,45.19,13.22
CONFIRMED,14.61,140.41,0.09,5.27,72.8,1.12,901,15.2,6194,4.24,1.31,291,45.19,13.22
FALSE POSITIVE,119.68,176.09,1.26,31.28,1700,30.39,351,38.1,5778,4.53,0.91,291.2,38.75,15.9
CONFIRMED,42.99,162.51,0.64,4.73,1120,3.32,496,34.1,5593,4.45,0.95,296.13,48.98,11.92
CONFIRMED,6.88,172.66,0.08,2.07,487,2.63,1080,35.4,6139,4.36,1.19,284.64,40.72,10.87
FALSE POSITIVE,4.59,134.89,1.15,2.75,45000,44.14,1022,92,5717,4.54,0.88,297.47,48.09,16.44
CONFIRMED,11.17,140.01,0.5,6.11,76.8,1.5,1019,17,5616,4,1.67,289.65,43.82,13.35
CONFIRMED,2.54,133.02,0.05,3.99,68,1.36,1671,25.5,5616,4,1.67,289.65,43.82,13.35
CONFIRMED,6.79,136.49,0.12,3.34,103,1.01,994,18.5,5772,4.35,1,287.8,45.66,13.99
CONFIRMED,11.84,142.21,0.56,3.38,92.9,1,826,12.7,5772,4.35,1,287.8,45.66,13.99
CONFIRMED,18.55,135.51,0.78,4.39,772,2.53,612,17.2,5569,4.57,0.83,294.58,38.46,15.71
CONFIRMED,13.37,184.07,0.41,3.73,12.2,0.27,656,7.4,5417,4.57,0.77,284.06,44.52,9.71
FALSE POSITIVE,1.05,132.28,0.71,2.93,28.7,0.83,2291,21.7,6057,4.09,1.46,289.08,39.04,12.8
CONFIRMED,13.03,144.12,0.81,4.52,573,2.88,774,18.9,5514,4.35,1.07,299.17,43.44,15.83
CONFIRMED,40.99,132.41,0.05,7.34,297,2.41,627,15.4,5842,4.17,1.41,287.84,43.15,15.27
CONFIRMED,8.01,138.71,0.05,3.32,188,1.52,1035,15.6,6398,4.41,1.1,296.3,50.67,14.79
CONFIRMED,12.13,139.9,0.08,3.84,211,1.61,901,15.3,6398,4.41,1.1,296.3,50.67,14.79
FALSE POSITIVE,1.33,132.06,0.42,3.57,123,1.19,1728,14,5774,4.35,1.05,294.54,46.51,15.05
FALSE POSITIVE,40.88,163.42,0.79,7.01,414,1.62,437,23.4,5383,4.61,0.72,292.36,42.4,14.92
CONFIRMED,18.83,134.7,0.2,2.34,796,2.34,591,19.9,5215,4.48,0.85,285.14,49.8,15.28
CONFIRMED,3.41,131.58,0.97,2.87,136,1.06,892,22.5,4983,4.66,0.65,286.75,49.06,14.14
CONFIRMED,4.77,132.69,0.08,2.01,163,1.19,1046,14.3,5629,4.43,0.94,297.46,48.18,14.43
CONFIRMED,13.63,135.45,0.93,3.54,913,3.28,639,26.7,5052,4.48,0.86,284.61,41.2,15.46
CONFIRMED,16.83,140.53,0.53,4.03,326,1.86,690,21.6,5518,4.4,1.01,294.01,42.88,14.83
FALSE POSITIVE,13.37,142.38,0.05,1.64,458,2.01,703,16.9,5263,4.4,0.96,283.18,41.99,14.74
FALSE POSITIVE,4.35,134.09,0.54,1.91,169,1.33,1179,12.2,5992,4.38,0.99,295.26,40.77,14.69
FALSE POSITIVE,134.97,205.97,0.02,18.43,68.4,0.87,385,6.9,6154,4.42,1.05,291.4,38.23,13.31
CONFIRMED,16.8,134.04,0.9,3.83,1020,2.75,503,21.2,4652,4.62,0.7,301.72,44.41,15.86
CONFIRMED,18.6,141.26,0.01,2.31,814,1.53,371,27.6,3834,4.71,0.54,292.29,40.59,15.26
CONFIRMED,5.77,132.97,0.43,1.77,245,0.8,529,11.8,3808,4.75,0.51,298.26,47.6,14.75
